ID,Predicted Monthly Income
871,5541.599378
872,2945.909451
873,14291.38797
874,2845.087098
875,3139.178831
876,4052.793357
877,4896.377745
878,2473.085729
879,3207.07087
880,15270.40281
881,8288.473223
882,2791.476295
883,4832.129888
884,4702.159357
885,5043.353577
886,4535.018123
887,5006.883677
888,4617.585366
889,5040.496547
890,2813.664007
891,5220.813248
892,8928.406325
893,7695.979978
894,5297.892152
895,9771.601197
896,9015.168263
897,7581.534025
898,14200.6916
899,5039.420147
900,2783.473106
901,3154.269913
902,4918.211191
903,5510.604633
904,2966.444097
905,14155.00278
906,4553.444254
907,8938.182404
908,5260.689839
909,2695.870948
910,2614.918896
911,27848.35748
912,2820.344612
913,2893.624813
914,9290.003208
915,5055.638391
916,5045.363527
917,2846.162124
918,4805.97599
919,2786.23456
920,3121.031924
921,2716.189582
922,2652.297688
923,4577.415697
924,4703.135163
925,15949.25055
926,3320.099593
927,5045.819901
928,9812.45557
929,2653.58214
930,2836.220002
931,5363.594576
932,9253.104638
933,8965.927868
934,2606.090429
935,2406.424469
936,2495.587886
937,8607.162323
938,7731.622452
939,5644.625328
940,2729.340196
941,2500.007142
942,9130.524423
943,10543.93285
944,4994.590963
945,2710.778989
946,5036.597067
947,2348.547717
948,2981.538313
949,2617.487663
950,4585.88881
951,2580.614783
952,5086.489705
953,4719.749431
954,2923.736644
955,4865.986231
956,7881.216083
957,9145.248889
958,3096.268863
959,8645.74372
960,24479.7542
961,3008.711113
962,5859.605259
963,4769.811889
964,5197.311387
965,2867.813088
966,25624.05879
967,2750.781132
968,8276.387733
969,14243.50414
970,2812.015183
971,5177.777219
972,5116.943826
973,2709.589912
974,2619.77784
975,4940.059615
976,2603.113875
977,4847.97844
978,2445.573852
979,10335.83008
980,25516.51291
981,3065.986057
982,8966.43765
983,3094.243547
984,2688.562633
985,5212.551807
986,2655.413617
987,2492.157387
988,4962.356314
989,8164.394024
990,2771.50055
991,5401.124
992,2767.487876
993,5489.815752
994,5057.471732
995,4672.010871
996,5595.060221
997,2787.129062
998,14532.25554
999,9495.709473
1000,2593.213695
1001,5541.939344
1002,5184.806382
1003,4949.970903
1004,5139.878803
1005,3072.990704
1006,5006.476441
1007,2932.308822
1008,5293.996633
1009,27960.52187
1010,5746.401948
1011,7730.395733
1012,5030.951749
1013,5675.551167
1014,3988.440541
1015,4209.118582
1016,2868.095599
1017,2888.695287
1018,8928.880205
1019,9283.951094
1020,2461.704432
1021,4993.743489
1022,4481.382757
1023,5140.141235
1024,8283.611517
1025,15281.21841
1026,20915.26786
1027,4819.179338
1028,5362.163867
1029,5019.737555
1030,8044.932371
1031,5099.896447
1032,2908.470196
1033,9236.96369
1034,2858.732367
1035,4959.988521
1036,2598.737182
1037,5143.022728
1038,8170.239885
1039,9102.351207
1040,5414.921313
1041,2374.01862
1042,3066.633998
1043,8713.177807
1044,5746.362405
1045,2621.072169
1046,2486.846863
1047,4496.990693
1048,9009.2366
1049,2475.195687
1050,4980.319388
1051,6761.146165
1052,2775.499589
1053,5221.345773
1054,2992.6685
1055,2593.415766
1056,2660.681566
1057,4713.694117
1058,17300.56285
1059,4844.008509
1060,3156.394093
1061,5144.783848
1062,4833.39975
1063,5329.17936
1064,2616.639781
1065,4511.191749
1066,2739.754907
1067,2917.580042
1068,24932.24568
1069,4625.017536
1070,2798.882129
1071,3036.398846
1072,5386.001437
1073,2651.741069
1074,4673.697671
1075,5011.615069
1076,18302.28869
1077,28976.248
1078,5078.117974
1079,4856.20282
1080,4967.659166
1081,2824.558788
1082,2621.784925
1083,2365.594769
1084,5938.780653
1085,8105.053983
1086,9988.865679
1087,5067.060424
1088,2971.582054
1089,2846.217708
1090,4631.284104
1091,5263.286476
1092,4894.910923
1093,9190.280162
1094,5007.002657
1095,4578.352077
1096,5321.78883
1097,2921.766862
1098,2472.63736
1099,2732.291326
1100,4082.808119
1101,24960.96377
1102,5229.665913
1103,4881.265505
1104,9751.173615
1105,2740.046802
1106,2562.673825
1107,3325.727519
1108,5532.810434
1109,5006.017831
1110,4826.84118
1111,4678.050289
1112,9463.191429
1113,9385.570509
1114,4761.158681
1115,10390.1344
1116,2779.600038
1117,5177.675216
1118,5054.323181
1119,8652.624678
1120,2735.988313
1121,7629.737584
1122,14522.80643
1123,5008.96617
1124,15957.12749
1125,2756.504341
1126,2368.69027
1127,2663.106594
1128,5465.811585
1129,13748.81641
1130,2768.077462
1131,9697.599984
1132,15322.44127
1133,4525.305845
1134,2665.558627
1135,2938.742117
1136,2876.606087
1137,3107.94388
1138,4601.864235
1139,9029.304539
1140,16449.39297
1141,5051.200372
1142,4818.186644
1143,10370.71713
1144,5141.674613
1145,5344.3995
1146,5026.43155
1147,5030.774584
1148,3174.005864
1149,2972.849802
1150,5287.536308
1151,2610.665159
1152,4638.387907
1153,4750.804902
1154,2666.534894
1155,5168.932092
1156,13944.28456
1157,2783.005424
1158,4859.395413
1159,2571.346798
1160,4802.386182
1161,2638.441209
1162,8345.110145
1163,2866.793208
1164,8963.23671
1165,2842.440469
1166,2574.954543
1167,9852.045443
1168,5189.339096
1169,2839.003233
1170,3267.608331
